"CO_CURSO";"CO_GRUPO";"NU_ANO";"NT_GER";"TP_SEXO";"NU_IDADE";"QE_I02";"QE_I08";"QE_I09";"QE_I10";"QE_I11";"QE_I15";"QE_I23"
3401;18;2022;81,9;"M";"21";"A";"E";"B";"A";"A";"A";""
3415;22;2022;58,4;"M";"24";"";"";"C";"D";"";"";""
3482;2;2012;34,3;"F";"22";"A";"C";"C";"D";"A";"A";"B"
3484;2;2018;43,6;"F";"23";"A";"F";"";"A";"B";"A";"B"
3486;22;2022;22,1;"M";"23";"A";"B";"B";"E";"B";"A";"C"
3487;13;2015;34,7;"M";"22";"A";"";"C";"E";"E";"A";"B"
3488;1;2012;60,8;"M";"22";"A";"G";"D";"D";"";"A";"E"
3529;1;2018;NA;"F";"24";"A";"C";"C";"E";"";"A";""
3542;1;2012;33,2;"F";"25";"A";"B";"D";"C";"H";"A";"D"
3558;1;2018;46,7;"M";"25";"B";"B";"D";"A";"A";"A";"B"
3559;13;2012;25,3;"F";"26";"A";"C";"E";"E";"";"A";"E"
3560;22;2015;60,1;"M";"35";"A";"A";"D";"E";"A";"";"B"
3570;2;2018;51,4;"F";"49";"A";"D";"E";"D";"A";"A";"C"
3638;1;2012;37,7;"M";"29";"A";"";"B";"E";"";"A";""
3639;22;2012;47,3;"F";"33";"";"D";"B";"E";"";"";""
3658;13;2018;36,1;"M";"25";"A";"F";"C";"E";"";"";"D"
3659;1;2015;57,9;"F";"27";"A";"D";"C";"D";"";"";"B"
3660;22;2018;26,8;"F";"21";"A";"D";"E";"E";"B";"A";"B"
3663;2;2012;62,1;"M";"37";"A";"D";"B";"A";"G";"A";""
3679;67;2012;70,9;"F";"21";"A";"E";"E";"D";"";"A";"C"
3685;18;2022;39,2;"F";"34";"A";"F";"B";"C";"B";"A";"C"
3776;1;2012;39,3;"F";"23";"A";"E";"C";"E";"";"A";"B"
3777;22;2022;40,3;"F";"25";"A";"";"E";"E";"C";"A";"C"
3797;1;2015;22,3;"F";"22";"A";"D";"F";"D";"G";"";"A"
3798;22;2015;20,2;"M";"24";"C";"";"D";"E";"F";"A";"D"
3800;13;2012;37,8;"M";"28";"A";"E";"C";"";"B";"A";"D"
3825;1;2012;32,6;"F";"22";"";"D";"C";"E";"E";"A";"B"
3826;22;2018;38,7;"F";"24";"A";"B";"B";"E";"B";"A";"B"
3828;2;2015;74,5;"F";"23";"A";"E";"B";"A";"C";"A";"C"
3831;22;2015;53,7;"F";"21";"A";"C";"B";"E";"E";"A";"D"
3833;1;2015;37,4;"F";"24";"A";"F";"D";"A";"F";"A";"B"
3835;2;2015;57,5;"M";"23";"A";"";"B";"A";"D";"A";"D"
3836;1;2015;NA;"F";"23";"A";"E";"D";"E";"H";"A";"E"
3837;22;2015;28,1;"M";"23";"A";"B";"C";"D";"F";"A";"B"
3840;2;2018;NA;"F";"22";"A";"D";"C";"A";"G";"A";"D"
3841;1;2018;29,4;"F";"20";"A";"C";"C";"E";"F";"A";"B"
3842;22;2018;20,5;"F";"22";"C";"B";"C";"E";"F";"A";"C"
3856;13;2022;34;"M";"24";"A";"C";"D";"";"G";"A";""
3860;18;2022;51,6;"F";"28";"A";"A";"E";"D";"B";"A";"E"
3861;22;2012;34,9;"F";"26";"A";"B";"C";"E";"B";"A";"B"
3862;1;2018;51,7;"F";"22";"A";"D";"D";"E";"";"F";"C"
3926;2;2022;66,5;"M";"27";"A";"C";"B";"A";"E";"A";"C"
3927;1;2018;34,5;"F";"22";"A";"C";"B";"E";"";"A";"A"
3929;22;2022;37,2;"M";"33";"A";"E";"D";"E";"G";"D";""
3934;29;2022;55;"M";"25";"";"C";"B";"B";"E";"A";"B"
3940;2;2012;55,5;"F";"22";"A";"C";"B";"A";"E";"A";""
3941;22;2012;NA;"M";"29";"A";"C";"";"E";"E";"A";"C"
3942;1;2015;29,7;"F";"32";"A";"B";"E";"";"C";"";"C"
3946;1;2018;45,9;"M";"23";"A";"";"A";"E";"C";"";"B"
4028;22;2018;53;"F";"22";"C";"B";"D";"E";"I";"A";"C"
4072;1;2015;NA;"F";"27";"A";"F";"D";"E";"A";"A";"B"
4073;22;2015;39,3;"F";"23";"A";"C";"";"E";"E";"A";"B"
4074;13;2012;20,3;"F";"21";"C";"D";"B";"D";"E";"A";"D"
4075;2;2018;51,4;"F";"21";"A";"E";"B";"E";"";"D";"E"
4086;22;2018;35,2;"F";"22";"A";"C";"C";"A";"A";"A";"B"
4102;1;2018;39,3;"M";"26";"A";"E";"C";"D";"";"A";"B"
4146;22;2012;40,6;"M";"27";"A";"E";"E";"E";"";"A";"C"
4148;2;2015;57,8;"F";"26";"A";"C";"B";"";"B";"A";""
4161;22;2012;39,4;"F";"23";"A";"C";"D";"D";"B";"A";"B"
4163;2;2018;48,7;"M";"46";"A";"F";"C";"E";"B";"A";"B"
4178;13;2012;30,5;"F";"22";"C";"D";"B";"A";"";"A";""
4190;1;2022;50,4;"F";"26";"C";"E";"B";"E";"";"";"A"
4191;13;2018;32;"M";"25";"A";"C";"B";"A";"A";"A";"D"
4197;18;2022;73;"M";"24";"C";"E";"";"B";"";"A";"C"
4225;22;2012;25,5;"M";"23";"C";"";"E";"D";"";"D";""
4226;1;2012;NA;"F";"21";"";"";"C";"B";"E";"C";"B"
4238;2;2012;NA;"F";"25";"C";"";"B";"C";"";"";"D"
4272;22;2018;37,6;"M";"22";"";"E";"E";"E";"K";"A";"B"
4273;1;2012;NA;"M";"23";"A";"C";"E";"E";"";"A";"B"
4280;2;2012;42,8;"M";"22";"A";"D";"B";"B";"B";"A";"B"
4296;1;2012;70,5;"F";"23";"B";"G";"";"";"B";"A";"A"
4297;22;2012;26,3;"M";"25";"C";"B";"B";"D";"B";"A";"D"
4302;2;2012;67,5;"F";"25";"A";"F";"D";"A";"";"A";"C"
4310;1;2015;NA;"M";"25";"A";"E";"C";"D";"";"";""
4311;13;2018;NA;"F";"23";"";"";"";"E";"B";"";"C"
4313;2;2018;52,5;"F";"28";"B";"E";"B";"A";"E";"D";"C"
4343;1;2022;50,5;"F";"22";"";"";"B";"D";"";"E";"C"
4344;22;2012;48,6;"F";"36";"C";"";"C";"E";"";"";"B"
4359;2;2022;17,7;"M";"22";"A";"D";"A";"A";"B";"A";"C"
4368;22;2012;20,9;"F";"27";"";"E";"";"";"";"";"D"
4403;18;2012;40,5;"F";"23";"D";"D";"C";"E";"B";"E";"C"
4417;1;2012;NA;"";"";"";"";"";"";"";"";""
4489;1;2012;16,3;"M";"34";"A";"D";"C";"C";"B";"A";"B"
4491;22;2015;13,1;"M";"21";"D";"D";"A";"E";"F";"";"A"
4532;2;2022;33,1;"M";"24";"B";"C";"B";"A";"H";"A";"B"
4540;803;2012;NA;"M";"21";"A";"C";"B";"D";"";"A";"B"
4541;1;2012;NA;"M";"22";"A";"A";"D";"E";"B";"F";"C"
4546;22;2012;38,8;"M";"31";"A";"D";"C";"E";"";"A";"B"
4548;2;2015;30,7;"F";"31";"D";"F";"C";"E";"";"A";"A"
4594;2;2018;30,6;"M";"24";"";"A";"A";"A";"B";"A";"D"
4599;1;2015;29,8;"M";"28";"A";"B";"F";"E";"H";"";"B"
4670;1;2012;47,6;"F";"23";"A";"E";"";"E";"";"A";"B"
4672;2;2018;20,6;"M";"23";"A";"B";"C";"A";"F";"A";"D"
4699;1;2012;42,5;"M";"29";"A";"D";"E";"D";"H";"";"B"
4700;22;2012;50,3;"F";"34";"A";"C";"C";"E";"";"A";"C"
4701;2;2018;48;"F";"23";"A";"B";"C";"A";"E";"A";"B"
4725;22;2012;60,7;"F";"23";"A";"C";"F";"E";"E";"A";"B"
4726;13;2012;24,2;"M";"22";"A";"D";"C";"E";"";"A";""
4735;2;2012;54,3;"F";"23";"C";"F";"C";"A";"H";"E";"B"
4757;1;2012;8;"F";"22";"A";"B";"B";"C";"";"A";"D"
4760;22;2018;39,6;"F";"23";"B";"";"C";"A";"I";"A";"E"
4851;18;2018;59,6;"F";"23";"A";"E";"A";"D";"B";"A";"B"
4869;22;2012;NA;"M";"37";"B";"C";"B";"E";"G";"A";"B"
4870;1;2012;NA;"M";"21";"A";"C";"B";"A";"F";"A";""
4871;67;2012;45,2;"F";"26";"A";"F";"D";"E";"";"A";"B"
4912;18;2022;NA;"F";"25";"A";"";"C";"";"F";"A";"D"
4918;1;2018;24,9;"M";"24";"D";"C";"D";"D";"";"";"D"
4923;2;2018;0,7;"M";"34";"D";"D";"A";"E";"H";"A";"C"
4926;29;2015;65,3;"M";"27";"B";"C";"E";"A";"C";"A";"C"
4933;18;2022;43,3;"F";"32";"A";"C";"B";"B";"A";"A";""
4946;1;2022;NA;"M";"28";"A";"D";"E";"B";"";"A";"C"
4951;81;2022;28,2;"F";"28";"B";"";"";"A";"";"A";""
4953;18;2018;60,4;"F";"60";"A";"C";"C";"A";"B";"D";"B"
4958;26;2012;33,4;"M";"20";"A";"F";"";"E";"";"";""
4961;2;2018;30,3;"F";"22";"";"B";"C";"A";"";"";"D"
4964;2;2018;52,5;"M";"36";"D";"E";"A";"A";"C";"A";"B"
4965;18;2012;22,7;"F";"23";"D";"A";"F";"";"E";"A";"C"
4971;26;2012;NA;"M";"34";"E";"";"B";"E";"";"A";"A"
5074;29;2012;66,4;"F";"26";"A";"E";"B";"E";"H";"F";"C"
5080;2;2018;36,3;"M";"31";"A";"D";"C";"A";"B";"A";"C"
5081;22;2018;46,9;"F";"25";"C";"C";"F";"E";"";"A";"B"
